Accident year,Police force,All accidents
2000,Metropolitan Police,37708
2000,Cumbria,1901
2000,Lancashire,5501
2000,Merseyside,6835
2000,Greater Manchester,12011
2000,Cheshire,4669
2000,Northumbria,4862
2000,Durham,1934
2000,North Yorkshire,3141
2000,West Yorkshire,9200
2000,South Yorkshire,4877
2000,Humberside,3456
2000,Cleveland,1571
2000,West Midlands,10640
2000,Staffordshire,4688
2000,West Mercia,3789
2000,Warwickshire,2274
2000,Derbyshire,3733
2000,Nottinghamshire,4288
2000,Lincolnshire,2565
2000,Leicestershire,3821
2000,Northamptonshire,2156
2000,Cambridgeshire,3486
2000,Norfolk,2645
2000,Suffolk,2312
2000,Bedfordshire,2035
2000,Hertfordshire,4704
2000,Essex,6985
2000,Thames Valley,8659
2000,Hampshire,7323
2000,Surrey,4647
2000,Kent,6086
2000,Sussex,5974
2000,City of London,417
2000,Devon and Cornwall,5673
2000,Avon and Somerset,5280
2000,Gloucestershire,1945
2000,Wiltshire,2393
2000,Dorset,2897
2000,North Wales,2656
2000,Gwent,1626
2000,South Wales,3598
2000,Dyfed-Powys,1669
2000,Police Scotland,15099
2001,Metropolitan Police,36328
2001,Cumbria,1823
2001,Lancashire,5920
2001,Merseyside,5783
2001,Greater Manchester,11249
2001,Cheshire,4523
2001,Northumbria,4746
2001,Durham,1862
2001,North Yorkshire,3142
2001,West Yorkshire,8740
2001,South Yorkshire,5038
2001,Humberside,3408
2001,Cleveland,1532
2001,West Midlands,10462
2001,Staffordshire,4563
2001,West Mercia,3846
2001,Warwickshire,2244
2001,Derbyshire,3681
2001,Nottinghamshire,4103
2001,Lincolnshire,2612
2001,Leicestershire,3764
2001,Northamptonshire,1945
2001,Cambridgeshire,3503
2001,Norfolk,2789
2001,Suffolk,2356
2001,Bedfordshire,1983
2001,Hertfordshire,4518
2001,Essex,6773
2001,Thames Valley,8356
2001,Hampshire,6934
2001,Surrey,5153
2001,Kent,6297
2001,Sussex,5674
2001,City of London,423
2001,Devon and Cornwall,5976
2001,Avon and Somerset,5286
2001,Gloucestershire,2074
2001,Wiltshire,2480
2001,Dorset,2950
2001,North Wales,2501
2001,Gwent,1464
2001,South Wales,3799
2001,Dyfed-Powys,1735
2001,Police Scotland,14676
2002,Metropolitan Police,33619
2002,Cumbria,1966
2002,Lancashire,5768
2002,Merseyside,5329
2002,Greater Manchester,10545
2002,Cheshire,4314
2002,Northumbria,4831
2002,Durham,1948
2002,North Yorkshire,3218
2002,West Yorkshire,8663
2002,South Yorkshire,4863
2002,Humberside,3587
2002,Cleveland,1501
2002,West Midlands,10195
2002,Staffordshire,4502
2002,West Mercia,3706
2002,Warwickshire,2135
2002,Derbyshire,3749
